county,precinct,office,district,party,candidate,votes,election_day,early,absentee
Grand Traverse,East Bay Twp Pct 2,Sheriff,,LIB,LIB Michael Gorbe,221,74,53,94
Grand Traverse,East Bay Twp Pct 3,Sheriff,,LIB,LIB Michael Gorbe,166,52,31,83
Grand Traverse,East Bay Twp Pct 4,Sheriff,,LIB,LIB Michael Gorbe,240,88,60,92
Grand Traverse,East Bay Twp Pct 5,Sheriff,,LIB,LIB Michael Gorbe,204,61,48,95
Grand Traverse,Fife Lake Twp Pct 1,Sheriff,,LIB,LIB Michael Gorbe,110,36,51,23
Grand Traverse,Garfield Twp Pct 1,Sheriff,,LIB,LIB Michael Gorbe,268,105,63,100
Grand Traverse,Garfield Twp Pct 2,Sheriff,,LIB,LIB Michael Gorbe,220,56,75,89
Grand Traverse,Garfield Twp Pct 3,Sheriff,,LIB,LIB Michael Gorbe,235,91,51,93
Grand Traverse,Garfield Twp Pct 4,Sheriff,,LIB,LIB Michael Gorbe,269,95,67,107
Grand Traverse,Garfield Twp Pct 5,Sheriff,,LIB,LIB Michael Gorbe,288,84,70,134
Grand Traverse,Garfield Twp Pct 6,Sheriff,,LIB,LIB Michael Gorbe,257,98,51,108
Grand Traverse,Garfield Twp Pct 7,Sheriff,,LIB,LIB Michael Gorbe,229,119,57,53
Grand Traverse,Grant Twp Pct 1,Sheriff,,LIB,LIB Michael Gorbe,77,61,16,0
Grand Traverse,Green Lake Twp Pct 1,Sheriff,,LIB,LIB Michael Gorbe,204,67,57,80
Grand Traverse,Green Lake Twp Pct 2,Sheriff,,LIB,LIB Michael Gorbe,198,78,56,64
Grand Traverse,Green Lake Twp Pct 3,Sheriff,,LIB,LIB Michael Gorbe,139,46,44,49
Grand Traverse,Long Lake Twp Pct 1,Sheriff,,LIB,LIB Michael Gorbe,307,134,39,134
Grand Traverse,Long Lake Twp Pct 2,Sheriff,,LIB,LIB Michael Gorbe,246,91,49,106
Grand Traverse,Long Lake Twp Pct 3,Sheriff,,LIB,LIB Michael Gorbe,265,100,30,135
Grand Traverse,Mayfield Twp Pct 1,Sheriff,,LIB,LIB Michael Gorbe,142,115,27,0
Grand Traverse,Paradise Twp Pct 1,Sheriff,,LIB,LIB Michael Gorbe,219,145,74,0
Grand Traverse,Paradise Twp Pct 2,Sheriff,,LIB,LIB Michael Gorbe,173,116,57,0
Grand Traverse,Peninsula Twp Pct 1,Sheriff,,LIB,LIB Michael Gorbe,211,83,17,111
Grand Traverse,Peninsula Twp Pct 2,Sheriff,,LIB,LIB Michael Gorbe,203,56,35,112
Grand Traverse,Union Twp Pct 1,Sheriff,,LIB,LIB Michael Gorbe,36,27,9,0
Grand Traverse,Whitewater Twp Pct 1,Sheriff,,LIB,LIB Michael Gorbe,199,80,28,91
Grand Traverse,Traverse City Pct 1,Sheriff,,LIB,LIB Michael Gorbe,261,113,44,104
Grand Traverse,Traverse City Pct 3,Sheriff,,LIB,LIB Michael Gorbe,236,82,48,106
Grand Traverse,Traverse City Pct 7,Sheriff,,LIB,LIB Michael Gorbe,311,136,66,109
Grand Traverse,Traverse City Pct 8,Sheriff,,LIB,LIB Michael Gorbe,258,98,64,96
Grand Traverse,Traverse City Pct 9,Sheriff,,LIB,LIB Michael Gorbe,201,96,32,73
Grand Traverse,Traverse City Pct 10,Sheriff,,LIB,LIB Michael Gorbe,266,93,60,113
Grand Traverse,Acme Twp Pct 1,Sheriff,,NON,Write-in,14,7,2,5
Grand Traverse,Acme Twp Pct 2,Sheriff,,NON,Write-in,6,1,1,4
Grand Traverse,Blair Twp Pct 1,Sheriff,,NON,Write-in,12,9,1,2
Grand Traverse,Blair Twp Pct 2,Sheriff,,NON,Write-in,5,2,1,2
Grand Traverse,Blair Twp Pct 3,Sheriff,,NON,Write-in,8,3,3,2
Grand Traverse,Blair Twp Pct 4,Sheriff,,NON,Write-in,7,4,1,2
Grand Traverse,East Bay Twp Pct 1,Sheriff,,NON,Write-in,18,5,4,9
Grand Traverse,East Bay Twp Pct 2,Sheriff,,NON,Write-in,10,4,1,5
Grand Traverse,East Bay Twp Pct 3,Sheriff,,NON,Write-in,7,3,2,2
Grand Traverse,East Bay Twp Pct 4,Sheriff,,NON,Write-in,13,3,6,4
Grand Traverse,East Bay Twp Pct 5,Sheriff,,NON,Write-in,7,3,0,4
Grand Traverse,Fife Lake Twp Pct 1,Sheriff,,NON,Write-in,9,3,2,4
Grand Traverse,Garfield Twp Pct 1,Sheriff,,NON,Write-in,13,7,3,3
Grand Traverse,Garfield Twp Pct 2,Sheriff,,NON,Write-in,8,2,4,2
Grand Traverse,Garfield Twp Pct 3,Sheriff,,NON,Write-in,13,8,3,2
Grand Traverse,Garfield Twp Pct 4,Sheriff,,NON,Write-in,15,2,4,9
Grand Traverse,Garfield Twp Pct 5,Sheriff,,NON,Write-in,17,5,2,10
Grand Traverse,Garfield Twp Pct 6,Sheriff,,NON,Write-in,16,6,4,6
Grand Traverse,Garfield Twp Pct 7,Sheriff,,NON,Write-in,26,14,5,7
Grand Traverse,Grant Twp Pct 1,Sheriff,,NON,Write-in,1,1,0,0
Grand Traverse,Green Lake Twp Pct 1,Sheriff,,NON,Write-in,8,4,2,2
Grand Traverse,Green Lake Twp Pct 2,Sheriff,,NON,Write-in,12,10,1,1
Grand Traverse,Green Lake Twp Pct 3,Sheriff,,NON,Write-in,10,4,2,4
Grand Traverse,Long Lake Twp Pct 1,Sheriff,,NON,Write-in,16,4,7,5
Grand Traverse,Long Lake Twp Pct 2,Sheriff,,NON,Write-in,7,4,1,2
Grand Traverse,Long Lake Twp Pct 3,Sheriff,,NON,Write-in,6,3,2,1
Grand Traverse,Mayfield Twp Pct 1,Sheriff,,NON,Write-in,6,4,2,0
Grand Traverse,Paradise Twp Pct 1,Sheriff,,NON,Write-in,3,2,1,0
Grand Traverse,Paradise Twp Pct 2,Sheriff,,NON,Write-in,9,8,1,0
Grand Traverse,Peninsula Twp Pct 1,Sheriff,,NON,Write-in,10,6,0,4
Grand Traverse,Peninsula Twp Pct 2,Sheriff,,NON,Write-in,11,3,5,3
Grand Traverse,Union Twp Pct 1,Sheriff,,NON,Write-in,3,1,2,0
Grand Traverse,Whitewater Twp Pct 1,Sheriff,,NON,Write-in,10,6,2,2
Grand Traverse,Traverse City Pct 1,Sheriff,,NON,Write-in,15,8,2,5
Grand Traverse,Traverse City Pct 3,Sheriff,,NON,Write-in,6,3,3,0
Grand Traverse,Traverse City Pct 7,Sheriff,,NON,Write-in,17,8,5,4
Grand Traverse,Traverse City Pct 8,Sheriff,,NON,Write-in,11,4,3,4
Grand Traverse,Traverse City Pct 9,Sheriff,,NON,Write-in,15,6,4,5
Grand Traverse,Traverse City Pct 10,Sheriff,,NON,Write-in,20,8,8,4
Grand Traverse,Acme Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,1315,367,325,623
Grand Traverse,Acme Twp Pct 2,Clerk,,REP,REP Bonnie Scheele,831,231,157,443
Grand Traverse,Blair Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,769,298,261,210
Grand Traverse,Blair Twp Pct 2,Clerk,,REP,REP Bonnie Scheele,1361,365,505,491
Grand Traverse,Blair Twp Pct 3,Clerk,,REP,REP Bonnie Scheele,875,273,297,305
Grand Traverse,Blair Twp Pct 4,Clerk,,REP,REP Bonnie Scheele,890,358,308,224
Grand Traverse,East Bay Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,1052,282,292,478
Grand Traverse,East Bay Twp Pct 2,Clerk,,REP,REP Bonnie Scheele,1183,360,331,492
Grand Traverse,East Bay Twp Pct 3,Clerk,,REP,REP Bonnie Scheele,932,274,227,431
Grand Traverse,East Bay Twp Pct 4,Clerk,,REP,REP Bonnie Scheele,1166,264,354,548
Grand Traverse,East Bay Twp Pct 5,Clerk,,REP,REP Bonnie Scheele,1122,316,340,466
Grand Traverse,Fife Lake Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,810,255,345,210
Grand Traverse,Garfield Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,1332,383,409,540
Grand Traverse,Garfield Twp Pct 2,Clerk,,REP,REP Bonnie Scheele,1280,239,383,658
Grand Traverse,Garfield Twp Pct 3,Clerk,,REP,REP Bonnie Scheele,792,286,239,267
Grand Traverse,Garfield Twp Pct 4,Clerk,,REP,REP Bonnie Scheele,900,246,282,372
Grand Traverse,Garfield Twp Pct 5,Clerk,,REP,REP Bonnie Scheele,1436,341,378,717
Grand Traverse,Garfield Twp Pct 6,Clerk,,REP,REP Bonnie Scheele,1121,322,320,479
Grand Traverse,Garfield Twp Pct 7,Clerk,,REP,REP Bonnie Scheele,797,390,215,192
Grand Traverse,Grant Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,666,452,214,0
Grand Traverse,Green Lake Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,1205,359,430,416
Grand Traverse,Green Lake Twp Pct 2,Clerk,,REP,REP Bonnie Scheele,997,322,381,294
Grand Traverse,Green Lake Twp Pct 3,Clerk,,REP,REP Bonnie Scheele,725,229,255,241
Grand Traverse,Long Lake Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,1284,440,290,554
Grand Traverse,Long Lake Twp Pct 2,Clerk,,REP,REP Bonnie Scheele,1431,454,358,619
Grand Traverse,Long Lake Twp Pct 3,Clerk,,REP,REP Bonnie Scheele,1800,544,415,841
Grand Traverse,Mayfield Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,868,688,180,0
Grand Traverse,Paradise Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,1269,732,537,0
Grand Traverse,Paradise Twp Pct 2,Clerk,,REP,REP Bonnie Scheele,977,570,407,0
Grand Traverse,Peninsula Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,1584,409,185,990
Grand Traverse,Peninsula Twp Pct 2,Clerk,,REP,REP Bonnie Scheele,1569,332,241,996
Grand Traverse,Union Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,273,227,46,0
Grand Traverse,Whitewater Twp Pct 1,Clerk,,REP,REP Bonnie Scheele,1470,486,286,698
Grand Traverse,Traverse City Pct 1,Clerk,,REP,REP Bonnie Scheele,979,335,203,441
Grand Traverse,Traverse City Pct 3,Clerk,,REP,REP Bonnie Scheele,843,235,195,413
Grand Traverse,Traverse City Pct 7,Clerk,,REP,REP Bonnie Scheele,885,367,203,315
Grand Traverse,Traverse City Pct 8,Clerk,,REP,REP Bonnie Scheele,799,243,225,331
Grand Traverse,Traverse City Pct 9,Clerk,,REP,REP Bonnie Scheele,958,286,192,480
Grand Traverse,Traverse City Pct 10,Clerk,,REP,REP Bonnie Scheele,947,292,243,412
Grand Traverse,Acme Twp Pct 1,Clerk,,NON,Write-in,26,11,6,9
Grand Traverse,Acme Twp Pct 2,Clerk,,NON,Write-in,10,4,1,5
Grand Traverse,Blair Twp Pct 1,Clerk,,NON,Write-in,24,13,4,7
Grand Traverse,Blair Twp Pct 2,Clerk,,NON,Write-in,13,3,3,7
Grand Traverse,Blair Twp Pct 3,Clerk,,NON,Write-in,16,6,6,4
Grand Traverse,Blair Twp Pct 4,Clerk,,NON,Write-in,21,10,7,4
Grand Traverse,East Bay Twp Pct 1,Clerk,,NON,Write-in,44,13,13,18
Grand Traverse,East Bay Twp Pct 2,Clerk,,NON,Write-in,13,3,4,6
Grand Traverse,East Bay Twp Pct 3,Clerk,,NON,Write-in,9,3,3,3
Grand Traverse,East Bay Twp Pct 4,Clerk,,NON,Write-in,24,9,8,7
Grand Traverse,East Bay Twp Pct 5,Clerk,,NON,Write-in,22,10,4,8
Grand Traverse,Fife Lake Twp Pct 1,Clerk,,NON,Write-in,12,5,3,4
Grand Traverse,Garfield Twp Pct 1,Clerk,,NON,Write-in,35,15,6,14
Grand Traverse,Garfield Twp Pct 2,Clerk,,NON,Write-in,24,7,12,5
Grand Traverse,Garfield Twp Pct 3,Clerk,,NON,Write-in,38,18,7,13
Grand Traverse,Garfield Twp Pct 4,Clerk,,NON,Write-in,38,16,8,14
Grand Traverse,Garfield Twp Pct 5,Clerk,,NON,Write-in,35,12,4,19
Grand Traverse,Garfield Twp Pct 6,Clerk,,NON,Write-in,35,15,12,8
Grand Traverse,Garfield Twp Pct 7,Clerk,,NON,Write-in,47,29,8,10
Grand Traverse,Grant Twp Pct 1,Clerk,,NON,Write-in,5,3,2,0
Grand Traverse,Green Lake Twp Pct 1,Clerk,,NON,Write-in,31,16,5,10
Grand Traverse,Green Lake Twp Pct 2,Clerk,,NON,Write-in,28,15,8,5
Grand Traverse,Green Lake Twp Pct 3,Clerk,,NON,Write-in,17,8,4,5
Grand Traverse,Long Lake Twp Pct 1,Clerk,,NON,Write-in,40,21,8,11
Grand Traverse,Long Lake Twp Pct 2,Clerk,,NON,Write-in,13,5,4,4
Grand Traverse,Long Lake Twp Pct 3,Clerk,,NON,Write-in,29,9,6,14
Grand Traverse,Mayfield Twp Pct 1,Clerk,,NON,Write-in,11,5,6,0
Grand Traverse,Paradise Twp Pct 1,Clerk,,NON,Write-in,16,12,4,0
Grand Traverse,Paradise Twp Pct 2,Clerk,,NON,Write-in,16,12,4,0
Grand Traverse,Peninsula Twp Pct 1,Clerk,,NON,Write-in,23,15,1,7
Grand Traverse,Peninsula Twp Pct 2,Clerk,,NON,Write-in,17,8,3,6
Grand Traverse,Union Twp Pct 1,Clerk,,NON,Write-in,3,2,1,0
Grand Traverse,Whitewater Twp Pct 1,Clerk,,NON,Write-in,19,6,4,9
Grand Traverse,Traverse City Pct 1,Clerk,,NON,Write-in,29,15,7,7
Grand Traverse,Traverse City Pct 3,Clerk,,NON,Write-in,22,9,7,6
Grand Traverse,Traverse City Pct 7,Clerk,,NON,Write-in,56,28,14,14
Grand Traverse,Traverse City Pct 8,Clerk,,NON,Write-in,23,8,9,6
Grand Traverse,Traverse City Pct 9,Clerk,,NON,Write-in,23,11,4,8
Grand Traverse,Traverse City Pct 10,Clerk,,NON,Write-in,39,12,17,10
Grand Traverse,Acme Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,1157,297,296,564
Grand Traverse,Acme Twp Pct 2,Treasurer,,REP,REP Jamie Callahan,776,209,152,415
Grand Traverse,Blair Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,666,256,236,174
Grand Traverse,Blair Twp Pct 2,Treasurer,,REP,REP Jamie Callahan,1219,318,462,439
Grand Traverse,Blair Twp Pct 3,Treasurer,,REP,REP Jamie Callahan,758,226,264,268
Grand Traverse,Blair Twp Pct 4,Treasurer,,REP,REP Jamie Callahan,751,295,271,185
Grand Traverse,East Bay Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,926,242,265,419
Grand Traverse,East Bay Twp Pct 2,Treasurer,,REP,REP Jamie Callahan,1059,316,307,436
Grand Traverse,East Bay Twp Pct 3,Treasurer,,REP,REP Jamie Callahan,833,229,206,398
Grand Traverse,East Bay Twp Pct 4,Treasurer,,REP,REP Jamie Callahan,1006,213,312,481
Grand Traverse,East Bay Twp Pct 5,Treasurer,,REP,REP Jamie Callahan,1007,270,321,416
Grand Traverse,Fife Lake Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,754,237,312,205
Grand Traverse,Garfield Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,1181,335,373,473
Grand Traverse,Garfield Twp Pct 2,Treasurer,,REP,REP Jamie Callahan,1180,209,351,620
Grand Traverse,Garfield Twp Pct 3,Treasurer,,REP,REP Jamie Callahan,667,231,214,222
Grand Traverse,Garfield Twp Pct 4,Treasurer,,REP,REP Jamie Callahan,742,198,232,312
Grand Traverse,Garfield Twp Pct 5,Treasurer,,REP,REP Jamie Callahan,1316,296,355,665
Grand Traverse,Garfield Twp Pct 6,Treasurer,,REP,REP Jamie Callahan,992,278,287,427
Grand Traverse,Garfield Twp Pct 7,Treasurer,,REP,REP Jamie Callahan,660,323,173,164
Grand Traverse,Grant Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,622,417,205,0
Grand Traverse,Green Lake Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,1075,321,385,369
Grand Traverse,Green Lake Twp Pct 2,Treasurer,,REP,REP Jamie Callahan,866,276,347,243
Grand Traverse,Green Lake Twp Pct 3,Treasurer,,REP,REP Jamie Callahan,650,206,229,215
Grand Traverse,Long Lake Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,1136,376,269,491
Grand Traverse,Long Lake Twp Pct 2,Treasurer,,REP,REP Jamie Callahan,1317,393,337,587
Grand Traverse,Long Lake Twp Pct 3,Treasurer,,REP,REP Jamie Callahan,1676,482,401,793
Grand Traverse,Mayfield Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,789,618,171,0
Grand Traverse,Paradise Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,1122,626,496,0
Grand Traverse,Paradise Twp Pct 2,Treasurer,,REP,REP Jamie Callahan,869,490,379,0
Grand Traverse,Peninsula Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,1498,367,178,953
Grand Traverse,Peninsula Twp Pct 2,Treasurer,,REP,REP Jamie Callahan,1488,298,216,974
Grand Traverse,Union Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,252,210,42,0
Grand Traverse,Whitewater Twp Pct 1,Treasurer,,REP,REP Jamie Callahan,1343,423,265,655
Grand Traverse,Traverse City Pct 1,Treasurer,,REP,REP Jamie Callahan,878,284,192,402
Grand Traverse,Traverse City Pct 3,Treasurer,,REP,REP Jamie Callahan,744,202,183,359
Grand Traverse,Traverse City Pct 7,Treasurer,,REP,REP Jamie Callahan,692,270,173,249
Grand Traverse,Traverse City Pct 8,Treasurer,,REP,REP Jamie Callahan,695,200,207,288
Grand Traverse,Traverse City Pct 9,Treasurer,,REP,REP Jamie Callahan,857,240,170,447
Grand Traverse,Traverse City Pct 10,Treasurer,,REP,REP Jamie Callahan,803,239,213,351
Grand Traverse,Acme Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,295,102,62,131
Grand Traverse,Acme Twp Pct 2,Treasurer,,LIB,LIB Kimberly Dowlan,137,40,22,75
Grand Traverse,Blair Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,173,54,45,74
Grand Traverse,Blair Twp Pct 2,Treasurer,,LIB,LIB Kimberly Dowlan,251,68,77,106
Grand Traverse,Blair Twp Pct 3,Treasurer,,LIB,LIB Kimberly Dowlan,187,62,57,68
Grand Traverse,Blair Twp Pct 4,Treasurer,,LIB,LIB Kimberly Dowlan,208,86,53,69
Grand Traverse,East Bay Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,259,94,62,103
Grand Traverse,East Bay Twp Pct 2,Treasurer,,LIB,LIB Kimberly Dowlan,257,74,64,119
Grand Traverse,East Bay Twp Pct 3,Treasurer,,LIB,LIB Kimberly Dowlan,193,58,37,98
Grand Traverse,East Bay Twp Pct 4,Treasurer,,LIB,LIB Kimberly Dowlan,273,88,71,114
Grand Traverse,East Bay Twp Pct 5,Treasurer,,LIB,LIB Kimberly Dowlan,242,76,55,111
Grand Traverse,Fife Lake Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,118,34,57,27
Grand Traverse,Garfield Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,306,109,66,131
Grand Traverse,Garfield Twp Pct 2,Treasurer,,LIB,LIB Kimberly Dowlan,252,60,78,114
Grand Traverse,Garfield Twp Pct 3,Treasurer,,LIB,LIB Kimberly Dowlan,249,98,56,95
Grand Traverse,Garfield Twp Pct 4,Treasurer,,LIB,LIB Kimberly Dowlan,303,95,80,128
Grand Traverse,Garfield Twp Pct 5,Treasurer,,LIB,LIB Kimberly Dowlan,309,87,62,160
Grand Traverse,Garfield Twp Pct 6,Treasurer,,LIB,LIB Kimberly Dowlan,268,91,54,123
Grand Traverse,Garfield Twp Pct 7,Treasurer,,LIB,LIB Kimberly Dowlan,249,120,61,68
Grand Traverse,Grant Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,85,69,16,0
Grand Traverse,Green Lake Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,257,86,75,96
Grand Traverse,Green Lake Twp Pct 2,Treasurer,,LIB,LIB Kimberly Dowlan,230,73,67,90
Grand Traverse,Green Lake Twp Pct 3,Treasurer,,LIB,LIB Kimberly Dowlan,161,46,49,66
Grand Traverse,Long Lake Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,354,146,49,159
Grand Traverse,Long Lake Twp Pct 2,Treasurer,,LIB,LIB Kimberly Dowlan,271,102,44,125
Grand Traverse,Long Lake Twp Pct 3,Treasurer,,LIB,LIB Kimberly Dowlan,312,110,38,164
Grand Traverse,Mayfield Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,137,116,21,0
Grand Traverse,Paradise Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,238,165,73,0
Grand Traverse,Paradise Twp Pct 2,Treasurer,,LIB,LIB Kimberly Dowlan,184,130,54,0
Grand Traverse,Peninsula Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,238,79,23,136
Grand Traverse,Peninsula Twp Pct 2,Treasurer,,LIB,LIB Kimberly Dowlan,223,63,35,125
Grand Traverse,Union Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,42,30,12,0
Grand Traverse,Whitewater Twp Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,221,85,32,104
Grand Traverse,Traverse City Pct 1,Treasurer,,LIB,LIB Kimberly Dowlan,286,118,52,116
Grand Traverse,Traverse City Pct 3,Treasurer,,LIB,LIB Kimberly Dowlan,252,75,50,127
Grand Traverse,Traverse City Pct 7,Treasurer,,LIB,LIB Kimberly Dowlan,376,166,73,137
Grand Traverse,Traverse City Pct 8,Treasurer,,LIB,LIB Kimberly Dowlan,261,93,57,111
Grand Traverse,Traverse City Pct 9,Treasurer,,LIB,LIB Kimberly Dowlan,235,100,43,92
Grand Traverse,Traverse City Pct 10,Treasurer,,LIB,LIB Kimberly Dowlan,310,98,71,141
Grand Traverse,Acme Twp Pct 1,Treasurer,,NON,Write-in,14,7,3,4
Grand Traverse,Acme Twp Pct 2,Treasurer,,NON,Write-in,6,2,1,3
Grand Traverse,Blair Twp Pct 1,Treasurer,,NON,Write-in,12,9,1,2
Grand Traverse,Blair Twp Pct 2,Treasurer,,NON,Write-in,7,2,1,4
Grand Traverse,Blair Twp Pct 3,Treasurer,,NON,Write-in,10,3,3,4
Grand Traverse,Blair Twp Pct 4,Treasurer,,NON,Write-in,8,2,4,2
Grand Traverse,East Bay Twp Pct 1,Treasurer,,NON,Write-in,19,6,4,9
Grand Traverse,East Bay Twp Pct 2,Treasurer,,NON,Write-in,10,4,0,6
Grand Traverse,East Bay Twp Pct 3,Treasurer,,NON,Write-in,5,1,2,2
Grand Traverse,East Bay Twp Pct 4,Treasurer,,NON,Write-in,11,3,5,3
Grand Traverse,East Bay Twp Pct 5,Treasurer,,NON,Write-in,7,4,0,3
Grand Traverse,Fife Lake Twp Pct 1,Treasurer,,NON,Write-in,11,5,3,3
Grand Traverse,Garfield Twp Pct 1,Treasurer,,NON,Write-in,13,6,4,3
Grand Traverse,Garfield Twp Pct 2,Treasurer,,NON,Write-in,9,1,6,2
Grand Traverse,Garfield Twp Pct 3,Treasurer,,NON,Write-in,14,10,2,2
Grand Traverse,Garfield Twp Pct 4,Treasurer,,NON,Write-in,15,4,5,6
Grand Traverse,Garfield Twp Pct 5,Treasurer,,NON,Write-in,17,6,3,8
Grand Traverse,Garfield Twp Pct 6,Treasurer,,NON,Write-in,19,11,4,4
Grand Traverse,Garfield Twp Pct 7,Treasurer,,NON,Write-in,22,12,5,5
Grand Traverse,Grant Twp Pct 1,Treasurer,,NON,Write-in,2,1,1,0
Grand Traverse,Green Lake Twp Pct 1,Treasurer,,NON,Write-in,15,5,6,4
Grand Traverse,Green Lake Twp Pct 2,Treasurer,,NON,Write-in,23,14,5,4
Grand Traverse,Green Lake Twp Pct 3,Treasurer,,NON,Write-in,11,3,3,5
Grand Traverse,Long Lake Twp Pct 1,Treasurer,,NON,Write-in,26,10,7,9
Grand Traverse,Long Lake Twp Pct 2,Treasurer,,NON,Write-in,8,4,3,1
Grand Traverse,Long Lake Twp Pct 3,Treasurer,,NON,Write-in,8,4,2,2
Grand Traverse,Mayfield Twp Pct 1,Treasurer,,NON,Write-in,9,5,4,0
Grand Traverse,Paradise Twp Pct 1,Treasurer,,NON,Write-in,6,6,0,0
Grand Traverse,Paradise Twp Pct 2,Treasurer,,NON,Write-in,9,7,2,0
Grand Traverse,Peninsula Twp Pct 1,Treasurer,,NON,Write-in,14,9,2,3
Grand Traverse,Peninsula Twp Pct 2,Treasurer,,NON,Write-in,11,3,4,4
Grand Traverse,Union Twp Pct 1,Treasurer,,NON,Write-in,1,0,1,0
Grand Traverse,Whitewater Twp Pct 1,Treasurer,,NON,Write-in,7,4,2,1
Grand Traverse,Traverse City Pct 1,Treasurer,,NON,Write-in,15,6,3,6
Grand Traverse,Traverse City Pct 3,Treasurer,,NON,Write-in,8,4,3,1
Grand Traverse,Traverse City Pct 7,Treasurer,,NON,Write-in,20,8,5,7
Grand Traverse,Traverse City Pct 8,Treasurer,,NON,Write-in,17,5,7,5
Grand Traverse,Traverse City Pct 9,Treasurer,,NON,Write-in,11,6,3,2
Grand Traverse,Traverse City Pct 10,Treasurer,,NON,Write-in,22,6,9,7
Grand Traverse,Acme Twp Pct 1,Register of Deeds,,REP,REP Scott Rokos,1267,359,319,589
Grand Traverse,Acme Twp Pct 2,Register of Deeds,,REP,REP Scott Rokos,807,226,158,423
Grand Traverse,Blair Twp Pct 1,Register of Deeds,,REP,REP Scott Rokos,760,292,261,207
Grand Traverse,Blair Twp Pct 2,Register of Deeds,,REP,REP Scott Rokos,1341,360,494,487
Grand Traverse,Blair Twp Pct 3,Register of Deeds,,REP,REP Scott Rokos,858,267,294,297
Grand Traverse,Blair Twp Pct 4,Register of Deeds,,REP,REP Scott Rokos,888,356,305,227
Grand Traverse,East Bay Twp Pct 1,Register of Deeds,,REP,REP Scott Rokos,1028,277,284,467
Grand Traverse,East Bay Twp Pct 2,Register of Deeds,,REP,REP Scott Rokos,1167,355,327,485
Grand Traverse,East Bay Twp Pct 3,Register of Deeds,,REP,REP Scott Rokos,911,268,226,417
Grand Traverse,East Bay Twp Pct 4,Register of Deeds,,REP,REP Scott Rokos,1118,251,350,517
Grand Traverse,East Bay Twp Pct 5,Register of Deeds,,REP,REP Scott Rokos,1098,306,337,455
Grand Traverse,Fife Lake Twp Pct 1,Register of Deeds,,REP,REP Scott Rokos,803,255,343,205
Grand Traverse,Garfield Twp Pct 1,Register of Deeds,,REP,REP Scott Rokos,1316,383,399,534
Grand Traverse,Garfield Twp Pct 2,Register of Deeds,,REP,REP Scott Rokos,1237,229,371,637
Grand Traverse,Garfield Twp Pct 3,Register of Deeds,,REP,REP Scott Rokos,776,282,237,257
Grand Traverse,Garfield Twp Pct 4,Register of Deeds,,REP,REP Scott Rokos,871,242,272,357
Grand Traverse,Garfield Twp Pct 5,Register of Deeds,,REP,REP Scott Rokos,1396,338,371,687
Grand Traverse,Garfield Twp Pct 6,Register of Deeds,,REP,REP Scott Rokos,1096,319,311,466
Grand Traverse,Garfield Twp Pct 7,Register of Deeds,,REP,REP Scott Rokos,790,390,211,189
Grand Traverse,Grant Twp Pct 1,Register of Deeds,,REP,REP Scott Rokos,660,448,212,0
Grand Traverse,Green Lake Twp Pct 1,Register of Deeds,,REP,REP Scott Rokos,1189,356,424,409
Grand Traverse,Green Lake Twp Pct 2,Register of Deeds,,REP,REP Scott Rokos,966,311,373,282
Grand Traverse,Green Lake Twp Pct 3,Register of Deeds,,REP,REP Scott Rokos,710,224,248,238
