county,precinct,offfice,district,party,candidate,votes,election_day,absentee,early_voting
Emmet,Friendship Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,13,12,0,1
Emmet,Friendship Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,4,4,0,0
Emmet,Friendship Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,638,495,0,143
Emmet,Friendship Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Keith A. Pretty,372,296,0,76
Emmet,Friendship Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,10,10,0,0
Emmet,Friendship Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,0,0,0,0
Emmet,Friendship Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,294,225,0,69
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Larry Cassidy,318,250,0,68
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Beverly Osetek,338,259,0,79
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,11,11,0,0
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,0,0,0,0
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,685,542,0,143
Emmet,Friendship Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Margo H. Damoose,306,235,0,71
Emmet,Friendship Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Paul Fairbairn,337,251,0,86
Emmet,Friendship Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Charlie Hollerith,280,227,0,53
Emmet,Friendship Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Tina J. Honeysette,295,237,0,58
Emmet,Friendship Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Audrey Lustgarten,258,202,0,56
Emmet,Friendship Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Write-ins,11,11,0,0
Emmet,Friendship Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Overvotes,4,4,0,0
Emmet,Friendship Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Undervotes,1213,957,0,256
Emmet,Friendship Township Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Yes,408,324,0,84
Emmet,Friendship Township Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,No,207,159,0,48
Emmet,Friendship Township Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Overvotes,1,1,0,0
Emmet,Friendship Township Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Undervotes,60,47,0,13
Emmet,Friendship Township Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Yes,341,266,0,75
Emmet,Friendship Township Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,No,279,221,0,58
Emmet,Friendship Township Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Overvotes,0,0,0,0
Emmet,Friendship Township Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Undervotes,56,44,0,12
Emmet,Little Traverse Township Precinct 1,Registered Voters,,,,2567,,,
Emmet,Little Traverse Township Precinct 1,Ballots Cast,,,,1876,640,761,475
Emmet,Little Traverse Township Precinct 1,Ballots Cast - Blank,,,,1,0,1,0
Emmet,Little Traverse Township Precinct 1,Straight Party Ticket,,DEM,Democrat,358,102,182,74
Emmet,Little Traverse Township Precinct 1,Straight Party Ticket,,REP,Republican,581,191,197,193
Emmet,Little Traverse Township Precinct 1,Straight Party Ticket,,LIB,Libertarian,6,5,0,1
Emmet,Little Traverse Township Precinct 1,Straight Party Ticket,,UST,U.S. Taxpayers,2,0,1,1
Emmet,Little Traverse Township Precinct 1,Straight Party Ticket,,GRN,Green,3,1,0,2
Emmet,Little Traverse Township Precinct 1,Straight Party Ticket,,WCP,Working Class,5,4,1,0
Emmet,Little Traverse Township Precinct 1,Straight Party Ticket,,NLP,Natural Law,1,1,0,0
Emmet,Little Traverse Township Precinct 1,Straight Party Ticket,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Straight Party Ticket,,,Undervotes,920,336,380,204
Emmet,Little Traverse Township Precinct 1,President,,DEM,Kamala D. Harris,799,246,411,142
Emmet,Little Traverse Township Precinct 1,President,,REP,Donald J. Trump,1007,368,321,318
Emmet,Little Traverse Township Precinct 1,President,,LIB,Chase Oliver,15,10,5,0
Emmet,Little Traverse Township Precinct 1,President,,UST,Randall Terry,4,1,2,1
Emmet,Little Traverse Township Precinct 1,President,,GRN,Jill Stein,10,3,5,2
Emmet,Little Traverse Township Precinct 1,President,,NLP,"NLP Robert F. Kennedy, Jr.",14,6,5,3
Emmet,Little Traverse Township Precinct 1,President,,NPA,NPA Joseph Kishore,3,0,0,3
Emmet,Little Traverse Township Precinct 1,President,,NPA,NPA Cornel West,1,0,0,1
Emmet,Little Traverse Township Precinct 1,President,,,Write-ins,5,3,2,0
Emmet,Little Traverse Township Precinct 1,President,,,Write-In: Peter Sonski,0,0,0,0
Emmet,Little Traverse Township Precinct 1,President,,,Overvotes,2,1,1,0
Emmet,Little Traverse Township Precinct 1,President,,,Undervotes,16,2,9,5
Emmet,Little Traverse Township Precinct 1,U.S. Senate,,DEM,Elissa Slotkin,799,237,414,148
Emmet,Little Traverse Township Precinct 1,U.S. Senate,,REP,Mike Rogers,996,365,319,312
Emmet,Little Traverse Township Precinct 1,U.S. Senate,,LIB,Joseph Solis-Mullen,25,14,6,5
Emmet,Little Traverse Township Precinct 1,U.S. Senate,,UST,Dave Stein,9,4,2,3
Emmet,Little Traverse Township Precinct 1,U.S. Senate,,GRN,Douglas P. Marsh,8,3,4,1
Emmet,Little Traverse Township Precinct 1,U.S. Senate,,NLP,Doug Dern,3,2,0,1
Emmet,Little Traverse Township Precinct 1,U.S. Senate,,,Write-ins,1,0,0,1
Emmet,Little Traverse Township Precinct 1,U.S. Senate,,,Overvotes,2,2,0,0
Emmet,Little Traverse Township Precinct 1,U.S. Senate,,,Undervotes,33,13,16,4
Emmet,Little Traverse Township Precinct 1,U.S. House,,DEM,Callie Barr,769,233,394,142
Emmet,Little Traverse Township Precinct 1,U.S. House,,REP,Jack Bergman,1028,369,341,318
Emmet,Little Traverse Township Precinct 1,U.S. House,,LIB,Andrew Gale,22,12,6,4
Emmet,Little Traverse Township Precinct 1,U.S. House,,WCP,Liz Hakola,21,11,5,5
Emmet,Little Traverse Township Precinct 1,U.S. House,,,Write-ins,0,0,0,0
Emmet,Little Traverse Township Precinct 1,U.S. House,,,Overvotes,1,0,0,1
Emmet,Little Traverse Township Precinct 1,U.S. House,,,Undervotes,35,15,15,5
Emmet,Little Traverse Township Precinct 1,State House,,DEM,Jodi Decker,728,223,367,138
Emmet,Little Traverse Township Precinct 1,State House,,REP,Parker Fairbairn,1105,399,377,329
Emmet,Little Traverse Township Precinct 1,State House,,,Write-ins,3,1,0,2
Emmet,Little Traverse Township Precinct 1,State House,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,State House,,,Undervotes,40,17,17,6
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,DEM,Theodore Jones,696,214,351,131
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,DEM,Adam Frederick Zemke,657,192,339,126
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,REP,Tom McMillin,938,325,314,299
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,REP,Nikki Snyder,949,332,326,291
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,LIB,Scotty Boman,65,33,16,16
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,UST,Ted Gerrard,14,5,5,4
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,UST,Christine C. Schwartz,26,10,12,4
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,WCP,Mary Anne Hering,53,25,18,10
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,,Write-ins,4,3,1,0
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Member of the State Board of Education State,,,Undervotes,350,141,140,69
Emmet,Little Traverse Township Precinct 1,Regent of the University of Michigan State,,DEM,Shauna Ryder Diggs,677,206,339,132
Emmet,Little Traverse Township Precinct 1,Regent of the University of Michigan State,,DEM,Denise Ilitch,705,209,361,135
Emmet,Little Traverse Township Precinct 1,Regent of the University of Michigan State,,REP,Carl Meyers,964,342,328,294
Emmet,Little Traverse Township Precinct 1,Regent of the University of Michigan State,,REP,Sevag Vartanian,876,292,299,285
Emmet,Little Traverse Township Precinct 1,Regent of the University of Michigan State,,LIB,Andrew Chadderdon,62,31,16,15
Emmet,Little Traverse Township Precinct 1,Regent of the University of Michigan State,,UST,Donna M. Oetman,36,16,14,6
Emmet,Little Traverse Township Precinct 1,Regent of the University of Michigan State,,,Write-ins,4,4,0,0
Emmet,Little Traverse Township Precinct 1,Regent of the University of Michigan State,,,Write-In: Huwaida Arraf,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Regent of the University of Michigan State,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Regent of the University of Michigan State,,,Undervotes,428,180,165,83
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,DEM,Rebecca Bahar-Cook,696,216,349,131
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,DEM,Thomas Stallworth III,627,180,323,124
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,REP,Mike Balow,928,325,307,296
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,REP,Julie Maday,936,321,326,289
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,LIB,Grant T. Baker,50,24,14,12
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,UST,Janet M. Sanger,28,10,14,4
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,UST,John Paul Sanger,19,11,6,2
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,GRN,John Anthony La Pietra,20,9,8,3
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,,Write-ins,3,2,0,1
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,,Overvotes,2,0,2,0
Emmet,Little Traverse Township Precinct 1,Trustee of Michigan State University State,,,Undervotes,443,182,173,88
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,DEM,Rasha Demashkieh,636,185,326,125
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,DEM,Mark T. Gaffney,648,184,335,129
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,REP,Michael Busuito,914,320,305,289
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,REP,Sunny Reddy,916,312,318,286
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,LIB,Farid Ishac,38,17,14,7
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,UST,William Mohr II,19,10,5,4
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,GRN,Sami Makhoul,14,8,3,3
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,WCP,Suzanne Roehrig,50,27,16,7
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,NLP,Kathleen Oakford,14,7,4,3
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,,Write-ins,4,4,0,0
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,,Overvotes,4,0,0,4
Emmet,Little Traverse Township Precinct 1,Governor of Wayne State University State,,,Undervotes,495,206,196,93
Emmet,Little Traverse Township Precinct 1,Prosecuting Attorney Emmet County,,REP,Michael H. Schuitema,1292,462,448,382
Emmet,Little Traverse Township Precinct 1,Prosecuting Attorney Emmet County,,,Write-ins,30,18,3,9
Emmet,Little Traverse Township Precinct 1,Prosecuting Attorney Emmet County,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Prosecuting Attorney Emmet County,,,Undervotes,554,160,310,84
Emmet,Little Traverse Township Precinct 1,Sheriff Emmet County,,REP,Matt Leirstein,1305,470,452,383
Emmet,Little Traverse Township Precinct 1,Sheriff Emmet County,,,Write-ins,32,17,5,10
Emmet,Little Traverse Township Precinct 1,Sheriff Emmet County,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Sheriff Emmet County,,,Undervotes,539,153,304,82
Emmet,Little Traverse Township Precinct 1,Clerk Emmet County,,DEM,Elizabeth Lohman,654,211,325,118
Emmet,Little Traverse Township Precinct 1,Clerk Emmet County,,REP,Suzanne R. Kanine,1118,386,388,344
Emmet,Little Traverse Township Precinct 1,Clerk Emmet County,,,Write-ins,4,3,0,1
Emmet,Little Traverse Township Precinct 1,Clerk Emmet County,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Clerk Emmet County,,,Undervotes,100,40,48,12
Emmet,Little Traverse Township Precinct 1,Treasurer Emmet County,,REP,Mary Mitchell,1298,459,454,385
Emmet,Little Traverse Township Precinct 1,Treasurer Emmet County,,,Write-ins,22,16,2,4
Emmet,Little Traverse Township Precinct 1,Treasurer Emmet County,,,Overvotes,1,1,0,0
Emmet,Little Traverse Township Precinct 1,Treasurer Emmet County,,,Undervotes,555,164,305,86
Emmet,Little Traverse Township Precinct 1,Register of Deeds Emmet County,,REP,Karen Cosens,1297,461,453,383
Emmet,Little Traverse Township Precinct 1,Register of Deeds Emmet County,,,Write-ins,20,14,2,4
Emmet,Little Traverse Township Precinct 1,Register of Deeds Emmet County,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Register of Deeds Emmet County,,,Undervotes,559,165,306,88
Emmet,Little Traverse Township Precinct 1,Drain Commissioner Emmet County,,REP,Arden J. Bawkey,1281,450,450,381
Emmet,Little Traverse Township Precinct 1,Drain Commissioner Emmet County,,,Write-ins,21,15,3,3
Emmet,Little Traverse Township Precinct 1,Drain Commissioner Emmet County,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Drain Commissioner Emmet County,,,Undervotes,574,175,308,91
Emmet,Little Traverse Township Precinct 1,County Commissioner County Commissioner District 03,,DEM,Courtney Wilber,723,216,368,139
Emmet,Little Traverse Township Precinct 1,County Commissioner County Commissioner District 03,,REP,Don Mapes,1035,376,342,317
Emmet,Little Traverse Township Precinct 1,County Commissioner County Commissioner District 03,,,Write-ins,4,3,0,1
Emmet,Little Traverse Township Precinct 1,County Commissioner County Commissioner District 03,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,County Commissioner County Commissioner District 03,,,Undervotes,114,45,51,18
Emmet,Little Traverse Township Precinct 1,Supervisor Little Traverse Township,,REP,William P. Dohm,1298,455,459,384
Emmet,Little Traverse Township Precinct 1,Supervisor Little Traverse Township,,,Write-ins,28,20,3,5
Emmet,Little Traverse Township Precinct 1,Supervisor Little Traverse Township,,,Overvotes,2,1,0,1
Emmet,Little Traverse Township Precinct 1,Supervisor Little Traverse Township,,,Undervotes,548,164,299,85
Emmet,Little Traverse Township Precinct 1,Clerk Little Traverse Township,,REP,Abby J. Urman,1307,464,460,383
Emmet,Little Traverse Township Precinct 1,Clerk Little Traverse Township,,,Write-ins,16,12,2,2
Emmet,Little Traverse Township Precinct 1,Clerk Little Traverse Township,,,Overvotes,2,1,1,0
Emmet,Little Traverse Township Precinct 1,Clerk Little Traverse Township,,,Undervotes,551,163,298,90
Emmet,Little Traverse Township Precinct 1,Treasurer Little Traverse Township,,REP,Connie M. Shepherd ONeill,1325,466,470,389
Emmet,Little Traverse Township Precinct 1,Treasurer Little Traverse Township,,,Write-ins,19,14,3,2
Emmet,Little Traverse Township Precinct 1,Treasurer Little Traverse Township,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Treasurer Little Traverse Township,,,Undervotes,532,160,288,84
Emmet,Little Traverse Township Precinct 1,Trustee Little Traverse Township,,REP,Joe Chattaway,1201,413,432,356
Emmet,Little Traverse Township Precinct 1,Trustee Little Traverse Township,,REP,Ken Garver,1199,402,438,359
Emmet,Little Traverse Township Precinct 1,Trustee Little Traverse Township,,,Write-ins,32,23,4,5
Emmet,Little Traverse Township Precinct 1,Trustee Little Traverse Township,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Trustee Little Traverse Township,,,Undervotes,1320,442,648,230
Emmet,Little Traverse Township Precinct 1,Justice of Supreme Court Supreme Court,,,Andrew Fink,643,235,208,200
Emmet,Little Traverse Township Precinct 1,Justice of Supreme Court Supreme Court,,,Kimberly Ann Thomas,735,222,358,155
Emmet,Little Traverse Township Precinct 1,Justice of Supreme Court Supreme Court,,,Write-ins,10,9,1,0
Emmet,Little Traverse Township Precinct 1,Justice of Supreme Court Supreme Court,,,Overvotes,1,0,1,0
Emmet,Little Traverse Township Precinct 1,Justice of Supreme Court Supreme Court,,,Undervotes,487,174,193,120
Emmet,Little Traverse Township Precinct 1,Justice of Supreme Court Supreme Court,special,,Kyra Harris Bolden,806,258,376,172
Emmet,Little Traverse Township Precinct 1,Justice of Supreme Court Supreme Court,special,,Patrick William O'Grady,573,198,187,188
Emmet,Little Traverse Township Precinct 1,Justice of Supreme Court Supreme Court,special,,Write-ins,9,8,1,0
Emmet,Little Traverse Township Precinct 1,Justice of Supreme Court Supreme Court,special,,Overvotes,1,1,0,0
Emmet,Little Traverse Township Precinct 1,Justice of Supreme Court Supreme Court,special,,Undervotes,487,175,197,115
Emmet,Little Traverse Township Precinct 1,Judge of Court of Appeals 4th District,,,Stephen L. Borrello,1008,355,386,267
Emmet,Little Traverse Township Precinct 1,Judge of Court of Appeals 4th District,,,Write-ins,16,12,4,0
Emmet,Little Traverse Township Precinct 1,Judge of Court of Appeals 4th District,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Judge of Court of Appeals 4th District,,,Undervotes,852,273,371,208
Emmet,Little Traverse Township Precinct 1,Judge of Court of Appeals 4th District,,,Allie Greenleaf Maldonado,1025,363,390,272
Emmet,Little Traverse Township Precinct 1,Judge of Court of Appeals 4th District,,,Write-ins,17,14,3,0
Emmet,Little Traverse Township Precinct 1,Judge of Court of Appeals 4th District,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Judge of Court of Appeals 4th District,,,Undervotes,834,263,368,203
Emmet,Little Traverse Township Precinct 1,Judge of Circuit Court 57th Circuit,,,Jennifer E. Deegan,1154,402,446,306
Emmet,Little Traverse Township Precinct 1,Judge of Circuit Court 57th Circuit,,,Write-ins,16,12,4,0
Emmet,Little Traverse Township Precinct 1,Judge of Circuit Court 57th Circuit,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Judge of Circuit Court 57th Circuit,,,Undervotes,706,226,311,169
Emmet,Little Traverse Township Precinct 1,Judge of Probate District Court 7th District,,,Valerie K. Snyder,1054,362,407,285
Emmet,Little Traverse Township Precinct 1,Judge of Probate District Court 7th District,,,Write-ins,16,13,3,0
Emmet,Little Traverse Township Precinct 1,Judge of Probate District Court 7th District,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Judge of Probate District Court 7th District,,,Undervotes,806,265,351,190
Emmet,Little Traverse Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,John E. Fought,631,223,235,173
Emmet,Little Traverse Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,James M. Shirilla,727,207,331,189
Emmet,Little Traverse Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Janelle A. Wozniak,674,215,295,164
Emmet,Little Traverse Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,20,17,3,0
Emmet,Little Traverse Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,1700,618,658,424
Emmet,Little Traverse Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Keith A. Pretty,983,344,380,259
Emmet,Little Traverse Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,13,12,1,0
Emmet,Little Traverse Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,880,284,380,216
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Larry Cassidy,895,290,361,244
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Beverly Osetek,927,293,392,242
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,15,13,2,0
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,0,0,0,0
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,1915,684,767,464
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Jade Barnes,87,32,29,26
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Jason Losey,79,25,28,26
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Write-ins,4,0,4,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Write-In: Stephanie Casale,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Write-In: Courtney Lewis,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Undervotes,514,211,171,132
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Petoskey Public Schools,,,Mark Ashley,170,64,55,51
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Petoskey Public Schools,,,Denise Petoskey,188,71,59,58
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Petoskey Public Schools,,,Write-ins,3,2,1,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Petoskey Public Schools,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Petoskey Public Schools,,,Undervotes,361,141,111,109
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Margo H. Damoose,616,206,251,159
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Paul Fairbairn,667,221,260,186
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Charlie Hollerith,532,155,245,132
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Tina J. Honeysette,560,181,248,131
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Audrey Lustgarten,551,173,251,127
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Write-ins,7,7,0,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Undervotes,2443,793,1105,545
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Jennifer Bell,90,33,28,29
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Write-ins,2,0,2,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Write-In: Linda Temple,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,Local School District Board Member Alanson Public Schools,,,Undervotes,250,101,86,63
Emmet,Little Traverse Township Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Yes,862,272,385,205
Emmet,Little Traverse Township Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,No,339,100,149,90
Emmet,Little Traverse Township Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Overvotes,1,0,0,1
Emmet,Little Traverse Township Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Undervotes,142,62,56,24
Emmet,Little Traverse Township Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Yes,788,247,354,187
Emmet,Little Traverse Township Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,No,414,124,180,110
Emmet,Little Traverse Township Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Overvotes,0,0,0,0
Emmet,Little Traverse Township Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Undervotes,142,63,56,23
Emmet,Littlefield Township Precinct 1,Registered Voters,,,,2897,,,
Emmet,Littlefield Township Precinct 1,Ballots Cast,,,,1839,1323,0,516
Emmet,Littlefield Township Precinct 1,Ballots Cast - Blank,,,,0,0,0,0
Emmet,Littlefield Township Precinct 1,Straight Party Ticket,,DEM,Democrat,413,322,0,91
Emmet,Littlefield Township Precinct 1,Straight Party Ticket,,REP,Republican,686,449,0,237
Emmet,Littlefield Township Precinct 1,Straight Party Ticket,,LIB,Libertarian,3,2,0,1
Emmet,Littlefield Township Precinct 1,Straight Party Ticket,,UST,U.S. Taxpayers,0,0,0,0
Emmet,Littlefield Township Precinct 1,Straight Party Ticket,,GRN,Green,1,1,0,0
Emmet,Littlefield Township Precinct 1,Straight Party Ticket,,WCP,Working Class,4,3,0,1
Emmet,Littlefield Township Precinct 1,Straight Party Ticket,,NLP,Natural Law,1,1,0,0
Emmet,Littlefield Township Precinct 1,Straight Party Ticket,,,Overvotes,1,1,0,0
Emmet,Littlefield Township Precinct 1,Straight Party Ticket,,,Undervotes,728,542,0,186
Emmet,Littlefield Township Precinct 1,President,,DEM,Kamala D. Harris,744,582,0,162
Emmet,Littlefield Township Precinct 1,President,,REP,Donald J. Trump,1043,700,0,343
Emmet,Littlefield Township Precinct 1,President,,LIB,Chase Oliver,6,6,0,0
Emmet,Littlefield Township Precinct 1,President,,UST,Randall Terry,0,0,0,0
Emmet,Littlefield Township Precinct 1,President,,GRN,Jill Stein,6,6,0,0
Emmet,Littlefield Township Precinct 1,President,,NLP,"NLP Robert F. Kennedy, Jr.",15,12,0,3
Emmet,Littlefield Township Precinct 1,President,,NPA,NPA Joseph Kishore,5,1,0,4
Emmet,Littlefield Township Precinct 1,President,,NPA,NPA Cornel West,4,3,0,1
Emmet,Littlefield Township Precinct 1,President,,,Write-ins,5,5,0,0
Emmet,Littlefield Township Precinct 1,President,,,Write-In: Peter Sonski,2,2,0,0
Emmet,Littlefield Township Precinct 1,President,,,Overvotes,0,0,0,0
Emmet,Littlefield Township Precinct 1,President,,,Undervotes,11,8,0,3
