ccounty,precinct,office,district,candidate,party,votes
Cass,"Porter Township, Precinct 2",Regent of the University of Michigan,,Carl Meyers,REP,532
Cass,"Porter Township, Precinct 2",Regent of the University of Michigan,,Sevag Vartanian,REP,487
Cass,"Porter Township, Precinct 2",Regent of the University of Michigan,,Andrew Chadderdon,LIB,16
Cass,"Porter Township, Precinct 2",Regent of the University of Michigan,,Donna M. Oetman,UST,16
Cass,"Porter Township, Precinct 2",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"Porter Township, Precinct 2",Regent of the University of Michigan,,Unresolved Write-In,,0
Cass,"Porter Township, Precinct 2",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,219
Cass,"Porter Township, Precinct 2",Trustee of Michigan State University,,Thomas Stallworth III,DEM,200
Cass,"Porter Township, Precinct 2",Trustee of Michigan State University,,Mike Balow,REP,522
Cass,"Porter Township, Precinct 2",Trustee of Michigan State University,,Julie Maday,REP,516
Cass,"Porter Township, Precinct 2",Trustee of Michigan State University,,Grant T. Baker,LIB,14
Cass,"Porter Township, Precinct 2",Trustee of Michigan State University,,Janet M. Sanger,UST,8
Cass,"Porter Township, Precinct 2",Trustee of Michigan State University,,John Paul Sanger,UST,3
Cass,"Porter Township, Precinct 2",Trustee of Michigan State University,,John Anthony La Pietra,GRN,7
Cass,"Porter Township, Precinct 2",Trustee of Michigan State University,,Unresolved Write-In,,0
Cass,"Porter Township, Precinct 2",Governor of Wayne State University,,Rasha Demashkieh,DEM,201
Cass,"Porter Township, Precinct 2",Governor of Wayne State University,,Mark T. Gaffney,DEM,206
Cass,"Porter Township, Precinct 2",Governor of Wayne State University,,Michael Busuito,REP,516
Cass,"Porter Township, Precinct 2",Governor of Wayne State University,,Sunny Reddy,REP,510
Cass,"Porter Township, Precinct 2",Governor of Wayne State University,,Farid Ishac,LIB,13
Cass,"Porter Township, Precinct 2",Governor of Wayne State University,,William Mohr II,UST,4
Cass,"Porter Township, Precinct 2",Governor of Wayne State University,,Sami Makhoul,GRN,7
Cass,"Porter Township, Precinct 2",Governor of Wayne State University,,Suzanne Roehrig,WCP,13
Cass,"Porter Township, Precinct 2",Governor of Wayne State University,,Kathleen Oakford,NLP,3
Cass,"Porter Township, Precinct 2",Governor of Wayne State University,,Unresolved Write-In,,0
Cass,"Porter Township, Precinct 2",County Prosecuting Attorney,,Victor Fitz,REP,599
Cass,"Porter Township, Precinct 2",County Prosecuting Attorney,,Unresolved Write-In,,5
Cass,"Porter Township, Precinct 2",County Sheriff,,Clint Roach,REP,603
Cass,"Porter Township, Precinct 2",County Sheriff,,Unresolved Write-In,,3
Cass,"Porter Township, Precinct 2",County Clerk and Register of Deeds,,Monica McMichael,REP,598
Cass,"Porter Township, Precinct 2",County Clerk and Register of Deeds,,Unresolved Write-In,,2
Cass,"Porter Township, Precinct 2",County Treasurer,,Hope Anderson,REP,597
Cass,"Porter Township, Precinct 2",County Treasurer,,Unresolved Write-In,,2
Cass,"Porter Township, Precinct 2",County Drain Commissioner,,Jeff VanBelle,REP,596
Cass,"Porter Township, Precinct 2",County Drain Commissioner,,Unresolved Write-In,,2
Cass,"Porter Township, Precinct 2",County Surveyor,,Thomas A. Stephenson,NPA,255
Cass,"Porter Township, Precinct 2",County Surveyor,,Unresolved Write-In,,8
Cass,"Porter Township, Precinct 2",County Commissioner 8th District,,R.J. Lee,REP,594
Cass,"Porter Township, Precinct 2",County Commissioner 8th District,,Unresolved Write-In,,2
Cass,"Porter Township, Precinct 2",Porter Township Supervisor,,Richard E. Drews,REP,600
Cass,"Porter Township, Precinct 2",Porter Township Supervisor,,Total Unresolved Write-In,,3
Cass,"Porter Township, Precinct 2",Porter Township Clerk,,Beth Russell,REP,600
Cass,"Porter Township, Precinct 2",Porter Township Clerk,,Unresolved Write-In,,6
Cass,"Porter Township, Precinct 2",Porter Township Treasurer,,John Penkala,REP,598
Cass,"Porter Township, Precinct 2",Porter Township Treasurer,,Unresolved Write-In,,8
Cass,"Porter Township, Precinct 2",Porter Township Trustee,,Tom Harman,REP,587
Cass,"Porter Township, Precinct 2",Porter Township Trustee,,Leard Wylie,REP,539
Cass,"Porter Township, Precinct 2",Porter Township Trustee,,Unresolved Write-In,,11
Cass,"Porter Township, Precinct 2",Justice of Supreme Court 8 Year Term,,Andrew Fink,,274
Cass,"Porter Township, Precinct 2",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,283
Cass,"Porter Township, Precinct 2",Justice of Supreme Court 8 Year Term,,Total Unresolved Write-In,,9
Cass,"Porter Township, Precinct 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,284
Cass,"Porter Township, Precinct 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,276
Cass,"Porter Township, Precinct 2",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,7
Cass,"Porter Township, Precinct 2",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,324
Cass,"Porter Township, Precinct 2",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,390
Cass,"Porter Township, Precinct 2",Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,12
Cass,"Porter Township, Precinct 2",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,424
Cass,"Porter Township, Precinct 2",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,14
Cass,"Porter Township, Precinct 2",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,354
Cass,"Porter Township, Precinct 2",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,362
Cass,"Porter Township, Precinct 2",Southwestern Michigan College Board of Trustees Member,,Total Unresolved Write-In,,11
Cass,"Porter Township, Precinct 2",Constantine Public Schools Board Member 6 Year Term,,Jerry Gray,,91
Cass,"Porter Township, Precinct 2",Constantine Public Schools Board Member 6 Year Term,,Cari Jourdan,,77
Cass,"Porter Township, Precinct 2",Constantine Public Schools Board Member 6 Year Term,,MaRinda Stamp,,70
Cass,"Porter Township, Precinct 2",Constantine Public Schools Board Member 6 Year Term,,Unresolved Write-In,,4
Cass,"Porter Township, Precinct 2",Constantine Public Schools Board Member Partial Term Ending 12/31/2028,,Jeff Komins,,128
Cass,"Porter Township, Precinct 2",Constantine Public Schools Board Member Partial Term Ending 12/31/2028,,Unresolved Write-In,,5
Cass,"Porter Township, Precinct 2",Constantine Public Schools Board Member Partial Term Ending 12/31/2026,,Jody Alger,,95
Cass,"Porter Township, Precinct 2",Constantine Public Schools Board Member Partial Term Ending 12/31/2026,,Cheryl Moord,,94
Cass,"Porter Township, Precinct 2",Constantine Public Schools Board Member Partial Term Ending 12/31/2026,,Wendy Rodewald,,99
Cass,"Porter Township, Precinct 2",Constantine Public Schools Board Member Partial Term Ending 12/31/2026,,Total Unresolved Write-In,,7
Cass,"Porter Township, Precinct 2",White Pigeon Community Schools Board Member,,Stacy Jancasz,,247
Cass,"Porter Township, Precinct 2",White Pigeon Community Schools Board Member,,Michael Swinehart,,253
Cass,"Porter Township, Precinct 2",White Pigeon Community Schools Board Member,,Total Unresolved Write-In,,12
Cass,"Porter Township, Precinct 2",Constantine Public Schools Operating Millage Proposal,,Yes,,74
Cass,"Porter Township, Precinct 2",Constantine Public Schools Operating Millage Proposal,,No,,125
Cass,"Porter Township, Precinct 2",Constantine Public Schools Operating Millage Proposal,,Unresolved Write-In,,0
Cass,"Porter Township, Precinct 2",White Pigeon Community Schools Bond Proposal,,Yes,,264
Cass,"Porter Township, Precinct 2",White Pigeon Community Schools Bond Proposal,,No,,227
Cass,"Porter Township, Precinct 2",White Pigeon Community Schools Bond Proposal,,Unresolved Write-In,,0
Cass,"Silver Creek Township, Precinct 1",Registered Voters,,,,2228
Cass,"Silver Creek Township, Precinct 1",Ballots Cast,,,,717
Cass,"Silver Creek Township, Precinct 1",Straight Party Ticket,,Democratic Party,DEM,81
Cass,"Silver Creek Township, Precinct 1",Straight Party Ticket,,Republican Party,REP,342
Cass,"Silver Creek Township, Precinct 1",Straight Party Ticket,,Libertarian Party,LIB,2
Cass,"Silver Creek Township, Precinct 1",Straight Party Ticket,,U.S. Taxpayers Party,UST,1
Cass,"Silver Creek Township, Precinct 1",Straight Party Ticket,,Green Party,GRN,0
Cass,"Silver Creek Township, Precinct 1",Straight Party Ticket,,Working Class Party,WCP,1
Cass,"Silver Creek Township, Precinct 1",Straight Party Ticket,,Natural Law Party,NLP,0
Cass,"Silver Creek Township, Precinct 1",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"Silver Creek Township, Precinct 1",President,,Kamala D. Harris/Tim Walz,DEM,160
Cass,"Silver Creek Township, Precinct 1",President,,Donald J. Trump/JD Vance,REP,542
Cass,"Silver Creek Township, Precinct 1",President,,Chase Oliver/Mike ter Maat,LIB,2
Cass,"Silver Creek Township, Precinct 1",President,,Randall Terry/Stephen E. Broden,UST,0
Cass,"Silver Creek Township, Precinct 1",President,,Jill Stein/Rudolph Ware,GRN,2
Cass,"Silver Creek Township, Precinct 1",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,5
Cass,"Silver Creek Township, Precinct 1",President,,Joseph Kishore/Jerry White,NPA,0
Cass,"Silver Creek Township, Precinct 1",President,,Comel West/Melina Abdullah,NPA,0
Cass,"Silver Creek Township, Precinct 1",President,,Peter Sonski,WRITE-IN,0
Cass,"Silver Creek Township, Precinct 1",President,,Unresolved Write-In,,0
Cass,"Silver Creek Township, Precinct 1",United States Senator,,Elissa Slotkin,DEM,163
Cass,"Silver Creek Township, Precinct 1",United States Senator,,Mike Rogers,REP,518
Cass,"Silver Creek Township, Precinct 1",United States Senator,,Joseph Solis-Mullen,LIB,6
Cass,"Silver Creek Township, Precinct 1",United States Senator,,Dave Stein,UST,6
Cass,"Silver Creek Township, Precinct 1",United States Senator,,Douglas P. Marsh,GRN,4
Cass,"Silver Creek Township, Precinct 1",United States Senator,,Doug Dern,NLP,4
Cass,"Silver Creek Township, Precinct 1",United States Senator,,Unresolved Write-In,,2
Cass,"Silver Creek Township, Precinct 1",U.S. House,5,Libbi Urban,DEM,154
Cass,"Silver Creek Township, Precinct 1",U.S. House,5,Tim Walberg,REP,529
Cass,"Silver Creek Township, Precinct 1",U.S. House,5,James Bronke,GRN,9
Cass,"Silver Creek Township, Precinct 1",U.S. House,5,Unresolved Write-In,,3
Cass,"Silver Creek Township, Precinct 1",State House,37,Angela Jones,DEM,146
Cass,"Silver Creek Township, Precinct 1",State House,37,Brad Paquette,REP,539
Cass,"Silver Creek Township, Precinct 1",State House,37,Unresolved Write-In,,5
Cass,"Silver Creek Township, Precinct 1",Member of the State Board of Education,,Theodore Jones,DEM,129
Cass,"Silver Creek Township, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,DEM,126
Cass,"Silver Creek Township, Precinct 1",Member of the State Board of Education,,Tom McMillin,REP,475
Cass,"Silver Creek Township, Precinct 1",Member of the State Board of Education,,Nikki Snyder,REP,479
Cass,"Silver Creek Township, Precinct 1",Member of the State Board of Education,,Scotty Boman,LIB,20
Cass,"Silver Creek Township, Precinct 1",Member of the State Board of Education,,Ted Gerrard,UST,9
Cass,"Silver Creek Township, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,UST,15
Cass,"Silver Creek Township, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,WCP,40
Cass,"Silver Creek Township, Precinct 1",Member of the State Board of Education,,Unresolved Write-In,,3
Cass,"Silver Creek Township, Precinct 1",Regent of the University of Michigan,,Denise Ilitch,DEM,140
Cass,"Silver Creek Township, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,130
Cass,"Silver Creek Township, Precinct 1",Regent of the University of Michigan,,Carl Meyers,REP,506
Cass,"Silver Creek Township, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,REP,440
Cass,"Silver Creek Township, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,LIB,21
Cass,"Silver Creek Township, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,UST,24
Cass,"Silver Creek Township, Precinct 1",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"Silver Creek Township, Precinct 1",Regent of the University of Michigan,,Unresolved Write-In,,2
Cass,"Silver Creek Township, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,152
Cass,"Silver Creek Township, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,DEM,116
Cass,"Silver Creek Township, Precinct 1",Trustee of Michigan State University,,Mike Balow,REP,472
Cass,"Silver Creek Township, Precinct 1",Trustee of Michigan State University,,Julie Maday,REP,468
Cass,"Silver Creek Township, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,LIB,14
Cass,"Silver Creek Township, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,UST,17
Cass,"Silver Creek Township, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,UST,10
Cass,"Silver Creek Township, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,GRN,8
Cass,"Silver Creek Township, Precinct 1",Trustee of Michigan State University,,Unresolved Write-In,,4
Cass,"Silver Creek Township, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,DEM,121
Cass,"Silver Creek Township, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,DEM,128
Cass,"Silver Creek Township, Precinct 1",Governor of Wayne State University,,Michael Busuito,REP,466
Cass,"Silver Creek Township, Precinct 1",Governor of Wayne State University,,Sunny Reddy,REP,452
Cass,"Silver Creek Township, Precinct 1",Governor of Wayne State University,,Farid Ishac,LIB,12
Cass,"Silver Creek Township, Precinct 1",Governor of Wayne State University,,William Mohr II,UST,11
Cass,"Silver Creek Township, Precinct 1",Governor of Wayne State University,,Sami Makhoul,GRN,3
Cass,"Silver Creek Township, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,WCP,30
Cass,"Silver Creek Township, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,NLP,16
Cass,"Silver Creek Township, Precinct 1",Governor of Wayne State University,,Unresolved Write-In,,3
Cass,"Silver Creek Township, Precinct 1",County Prosecuting Attorney,,Victor Fitz,REP,593
Cass,"Silver Creek Township, Precinct 1",County Prosecuting Attorney,,Unresolved Write-In,,22
Cass,"Silver Creek Township, Precinct 1",County Sheriff,,Clint Roach,REP,614
Cass,"Silver Creek Township, Precinct 1",County Sheriff,,Unresolved Write-In,,17
Cass,"Silver Creek Township, Precinct 1",County Clerk and Register of Deeds,,Monica McMichael,REP,594
Cass,"Silver Creek Township, Precinct 1",County Clerk and Register of Deeds,,Unresolved Write-In,,14
Cass,"Silver Creek Township, Precinct 1",County Treasurer,,Hope Anderson,REP,594
Cass,"Silver Creek Township, Precinct 1",County Treasurer,,Unresolved Write-In,,15
Cass,"Silver Creek Township, Precinct 1",County Drain Commissioner,,Jeff VanBelle,REP,591
Cass,"Silver Creek Township, Precinct 1",County Drain Commissioner,,Unresolved Write-In,,18
Cass,"Silver Creek Township, Precinct 1",County Surveyor,,Thomas A. Stephenson,NPA,391
Cass,"Silver Creek Township, Precinct 1",County Surveyor,,Unresolved Write-In,,18
Cass,"Silver Creek Township, Precinct 1",County Commissioner 1st District,,Minnie M. Warren,DEM,155
Cass,"Silver Creek Township, Precinct 1",County Commissioner 1st District,,Tom Langley,REP,504
Cass,"Silver Creek Township, Precinct 1",County Commissioner 1st District,,Ryan Charles Laylin,WRITE-IN,14
Cass,"Silver Creek Township, Precinct 1",County Commissioner 1st District,,Unresolved Write-In,,8
Cass,"Silver Creek Township, Precinct 1",Silver Creek Township Supervisor,,Bill J. Saunders,REP,582
Cass,"Silver Creek Township, Precinct 1",Silver Creek Township Supervisor,,Unresolved Write-In,,27
Cass,"Silver Creek Township, Precinct 1",Silver Creek Township Clerk,,Jessica Honn,REP,593
Cass,"Silver Creek Township, Precinct 1",Silver Creek Township Clerk,,Unresolved Write-In,,16
Cass,"Silver Creek Township, Precinct 1",Silver Creek Township Treasurer,,Lorri Behnke,REP,593
Cass,"Silver Creek Township, Precinct 1",Silver Creek Township Treasurer,,Unresolved Write-In,,21
Cass,"Silver Creek Township, Precinct 1",Silver Creek Township Trustee,,Wendy Colburn,DEM,161
Cass,"Silver Creek Township, Precinct 1",Silver Creek Township Trustee,,Nickolas Barnes,REP,526
Cass,"Silver Creek Township, Precinct 1",Silver Creek Township Trustee,,Jennifer Stockwell,REP,496
Cass,"Silver Creek Township, Precinct 1",Silver Creek Township Trustee,,Unresolved Write-In,,8
Cass,"Silver Creek Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Andrew Fink,,281
Cass,"Silver Creek Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,221
Cass,"Silver Creek Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Total Unresolved Write-In,,14
Cass,"Silver Creek Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,265
Cass,"Silver Creek Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,237
Cass,"Silver Creek Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,16
Cass,"Silver Creek Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,296
Cass,"Silver Creek Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,361
Cass,"Silver Creek Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,15
Cass,"Silver Creek Township, Precinct 1",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,450
Cass,"Silver Creek Township, Precinct 1",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,15
Cass,"Silver Creek Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,317
Cass,"Silver Creek Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,353
Cass,"Silver Creek Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Total Unresolved Write-In,,15
Cass,"Silver Creek Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Christina Carpenter,,321
Cass,"Silver Creek Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Tracey Hatcher,,304
Cass,"Silver Creek Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Dominique Hood-Charles,,262
Cass,"Silver Creek Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Randi Taggart,,329
Cass,"Silver Creek Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Unresolved Write-In,,17
Cass,"Silver Creek Township, Precinct 1",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Jeff de Varona,,389
Cass,"Silver Creek Township, Precinct 1",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Unresolved Write-In,,10
Cass,"Silver Creek Township, Precinct 1",Eau Claire Public Schools Board Member 6 Year Term,,Chris Peters,,7
Cass,"Silver Creek Township, Precinct 1",Eau Claire Public Schools Board Member 6 Year Term,,Unresolved Write-In,,2
Cass,"Silver Creek Township, Precinct 1",Eau Claire Public Schools Board Member 4 Year Term,,Total Unresolved Write-In,,4
Cass,"Silver Creek Township, Precinct 1",Eau Claire Public Schools Board Partial Term Ending 12/31/2028,,Unresolved Write-In,,4
Cass,"Silver Creek Township, Precinct 1",Eau Claire Public Schools Board Partial Term Ending 12/31/2026,,Unresolved Write-In,,4
Cass,Silver Creek Township,Registered Voters,,,,2228
Cass,Silver Creek Township,Ballots Cast,,,,672
Cass,Silver Creek Township,Straight Party Ticket,,Democratic Party,DEM,146
Cass,Silver Creek Township,Straight Party Ticket,,Republican Party,REP,241
Cass,Silver Creek Township,Straight Party Ticket,,Libertarian Party,LIB,4
Cass,Silver Creek Township,Straight Party Ticket,,U.S. Taxpayers Party,UST,0
Cass,Silver Creek Township,Straight Party Ticket,,Green Party,GRN,2
Cass,Silver Creek Township,Straight Party Ticket,,Working Class Party,WCP,2
Cass,Silver Creek Township,Straight Party Ticket,,Natural Law Party,NLP,0
Cass,Silver Creek Township,Straight Party Ticket,,Unresolved Write-In,,0
Cass,Silver Creek Township,President,,Kamala D. Harris/Tim Walz,DEM,307
Cass,Silver Creek Township,President,,Donald J. Trump/JD Vance,REP,348
Cass,Silver Creek Township,President,,Chase Oliver/Mike ter Maat,LIB,1
Cass,Silver Creek Township,President,,Randall Terry/Stephen E. Broden,UST,2
Cass,Silver Creek Township,President,,Jill Stein/Rudolph Ware,GRN,1
Cass,Silver Creek Township,President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,4
Cass,Silver Creek Township,President,,Joseph Kishore/Jerry White,NPA,0
Cass,Silver Creek Township,President,,Cornel West/Melina Abdullah,NPA,0
Cass,Silver Creek Township,President,,Peter Sonski,WRITE-IN,0
Cass,Silver Creek Township,President,,Unresolved Write-In,,1
Cass,Silver Creek Township,United States Senator,,Elissa Slotkin,DEM,281
Cass,Silver Creek Township,United States Senator,,Mike Rogers,REP,362
Cass,Silver Creek Township,United States Senator,,Joseph Solis-Mullen,LIB,5
Cass,Silver Creek Township,United States Senator,,Dave Stein,UST,3
Cass,Silver Creek Township,United States Senator,,Douglas P. Marsh,GRN,3
Cass,Silver Creek Township,United States Senator,,Doug Dern,NLP,2
Cass,Silver Creek Township,United States Senator,,Unresolved Write-In,,1
Cass,Silver Creek Township,U.S. House,5,Libbi Urban,DEM,273
Cass,Silver Creek Township,U.S. House,5,Tim Walberg,REP,372
Cass,Silver Creek Township,U.S. House,5,James Bronke,GRN,6
Cass,Silver Creek Township,U.S. House,5,Unresolved Write-In,,1
Cass,Silver Creek Township,State House,37,Angela Jones,DEM,257
Cass,Silver Creek Township,State House,37,Brad Paquette,REP,393
Cass,Silver Creek Township,State House,37,Unresolved Write-In,,1
Cass,Silver Creek Township,Member of the State Board of Education,,Theodore Jones,DEM,239
Cass,Silver Creek Township,Member of the State Board of Education,,Adam Frederick Zemke,DEM,248
Cass,Silver Creek Township,Member of the State Board of Education,,Tom McMillin,REP,343
Cass,Silver Creek Township,Member of the State Board of Education,,Nikki Snyder,REP,351
Cass,Silver Creek Township,Member of the State Board of Education,,Scotty Boman,LIB,10
Cass,Silver Creek Township,Member of the State Board of Education,,Ted Gerrard,UST,3
Cass,Silver Creek Township,Member of the State Board of Education,,Christine C. Schwartz,UST,14
Cass,Silver Creek Township,Member of the State Board of Education,,Mary Anne Hering,WCP,31
Cass,Silver Creek Township,Member of the State Board of Education,,Unresolved Write-In,,0
Cass,Silver Creek Township,Regent of the University of Michigan,,Denise llitch,DEM,255
Cass,Silver Creek Township,Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,238
Cass,Silver Creek Township,Regent of the University of Michigan,,Carl Meyers,REP,357
Cass,Silver Creek Township,Regent of the University of Michigan,,Sevag Vartanian,REP,326
Cass,Silver Creek Township,Regent of the University of Michigan,,Andrew Chadderdon,LIB,17
Cass,Silver Creek Township,Regent of the University of Michigan,,Donna M. Oetman,UST,21
Cass,Silver Creek Township,Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,Silver Creek Township,Regent of the University of Michigan,,Unresolved Write-In,,0
Cass,Silver Creek Township,Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,259
Cass,Silver Creek Township,Trustee of Michigan State University,,Thomas Stallworth III,DEM,225
Cass,Silver Creek Township,Trustee of Michigan State University,,Mike Balow,REP,346
Cass,Silver Creek Township,Trustee of Michigan State University,,Julie Maday,REP,346
Cass,Silver Creek Township,Trustee of Michigan State University,,Grant T. Baker,LIB,9
Cass,Silver Creek Township,Trustee of Michigan State University,,Janet M. Sanger,UST,14
Cass,Silver Creek Township,Trustee of Michigan State University,,John Paul Sanger,UST,13
Cass,Silver Creek Township,Trustee of Michigan State University,,John Anthony La Pietra,GRN,10
Cass,Silver Creek Township,Trustee of Michigan State University,,Unresolved Write-In,,0
Cass,Silver Creek Township,Governor of Wayne State University,,Rasha Demashkieh,DEM,232
Cass,Silver Creek Township,Governor of Wayne State University,,Mark T. Gaffney,DEM,237
Cass,Silver Creek Township,Governor of Wayne State University,,Michael Busuito,REP,336
Cass,Silver Creek Township,Governor of Wayne State University,,Sunny Reddy,REP,334
Cass,Silver Creek Township,Governor of Wayne State University,,Farid Ishac,LIB,7
Cass,Silver Creek Township,Governor of Wayne State University,,William Mohr II,UST,9
Cass,Silver Creek Township,Governor of Wayne State University,,Sami Makhoul,GRN,6
Cass,Silver Creek Township,Governor of Wayne State University,,Suzanne Roehrig,WCP,23
Cass,Silver Creek Township,Governor of Wayne State University,,Kathleen Oakford,NLP,12
Cass,Silver Creek Township,Governor of Wayne State University,,Unresolved Write-In,,4
Cass,Silver Creek Township,County Prosecuting Attorney,,Victor Fitz,REP,480
Cass,Silver Creek Township,County Prosecuting Attorney,,Unresolved Write-In,,11
Cass,Silver Creek Township,County Sheriff,,Clint Roach,REP,502
Cass,Silver Creek Township,County Sheriff,,Unresolved Write-In,,6
Cass,Silver Creek Township,County Clerk and Register of Deeds,,Monica McMichael,REP,489
Cass,Silver Creek Township,County Clerk and Register of Deeds,,Unresolved Write-In,,3
Cass,Silver Creek Township,County Treasurer,,Hope Anderson,REP,483
Cass,Silver Creek Township,County Treasurer,,Unresolved Write-In,,4
Cass,Silver Creek Township,County Drain Commissioner,,Jeff VanBelle,REP,479
Cass,Silver Creek Township,County Drain Commissioner,,Unresolved Write-In,,4
Cass,Silver Creek Township,County Surveyor,,Thomas A. Stephenson,NPA,333
Cass,Silver Creek Township,County Surveyor,,Unresolved Write-In,,3
Cass,Silver Creek Township,County Commissioner 1st District,,Minnie M. Warren,DEM,265
Cass,Silver Creek Township,County Commissioner 1st District,,Tom Langley,REP,370
Cass,Silver Creek Township,County Commissioner 1st District,,Ryan Charles Laylin,WRITE-IN,0
Cass,Silver Creek Township,County Commissioner 1st District,,Unresolved Write-In,,2
Cass,Silver Creek Township,Silver Creek Township Supervisor,,Bill J. Saunders,REP,470
Cass,Silver Creek Township,Silver Creek Township Supervisor,,Unresolved Write-In,,9
Cass,Silver Creek Township,Silver Creek Township Clerk,,Jessica Honn,REP,488
Cass,Silver Creek Township,Silver Creek Township Clerk,,Unresolved Write-In,,3
Cass,Silver Creek Township,Silver Creek Township Treasurer,,Lorri Behnke,REP,481
Cass,Silver Creek Township,Silver Creek Township Treasurer,,Unresolved Write-In,,10
Cass,Silver Creek Township,Silver Creek Township Trustee,,Wendy Colburn,DEM,261
Cass,Silver Creek Township,Silver Creek Township Trustee,,Nickolas Barnes,REP,421
Cass,Silver Creek Township,Silver Creek Township Trustee,,Jennifer Stockwell,REP,399
Cass,Silver Creek Township,Silver Creek Township Trustee,,Unresolved Write-In,,0
Cass,Silver Creek Township,Justice of Supreme Court 8 Year Term,,Andrew Fink,,227
Cass,Silver Creek Township,Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,276
Cass,Silver Creek Township,Justice of Supreme Court 8 Year Term,,Unresolved Write-In,,4
Cass,Silver Creek Township,Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,287
Cass,Silver Creek Township,Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,219
Cass,Silver Creek Township,Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,5
Cass,Silver Creek Township,Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,323
Cass,Silver Creek Township,Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,340
Cass,Silver Creek Township,Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,4
