county,precinct,office,district,party,candidate,absentee,election_day,votes
Kalamazoo,Oshtemo Twp. 10,Straight Party,,DEM,Democratic,120,76,196
Kalamazoo,Pavilion Twp. 1,Straight Party,,DEM,Democratic,140,133,273
Kalamazoo,Pavilion Twp. 2,Straight Party,,DEM,Democratic,89,49,138
Kalamazoo,Pavilion Twp. 3,Straight Party,,DEM,Democratic,92,101,193
Kalamazoo,Prairie Ronde Twp. 1,Straight Party,,DEM,Democratic,0,222,222
Kalamazoo,Richland Twp. 1,Straight Party,,DEM,Democratic,243,165,408
Kalamazoo,Richland Twp. 2,Straight Party,,DEM,Democratic,144,118,262
Kalamazoo,Richland Twp. 3,Straight Party,,DEM,Democratic,245,173,418
Kalamazoo,Ross Twp. 1,Straight Party,,DEM,Democratic,159,98,257
Kalamazoo,Ross Twp. 2,Straight Party,,DEM,Democratic,168,82,250
Kalamazoo,Schoolcraft Twp. 1,Straight Party,,DEM,Democratic,159,82,241
Kalamazoo,Schoolcraft Twp. 2,Straight Party,,DEM,Democratic,82,57,139
Kalamazoo,Schoolcraft Twp. 3,Straight Party,,DEM,Democratic,216,227,443
Kalamazoo,Schoolcraft Twp. 4,Straight Party,,DEM,Democratic,116,64,180
Kalamazoo,Texas Twp. 1,Straight Party,,DEM,Democratic,197,141,338
Kalamazoo,Texas Twp. 2,Straight Party,,DEM,Democratic,184,105,289
Kalamazoo,Texas Twp. 3,Straight Party,,DEM,Democratic,233,160,393
Kalamazoo,Texas Twp. 4,Straight Party,,DEM,Democratic,323,222,545
Kalamazoo,Texas Twp. 5,Straight Party,,DEM,Democratic,353,175,528
Kalamazoo,Texas Twp. 6,Straight Party,,DEM,Democratic,296,158,454
Kalamazoo,Wakeshma Twp. 1,Straight Party,,DEM,Democratic,0,98,98
Kalamazoo,Galesburg City 1,Straight Party,,DEM,Democratic,0,188,188
Kalamazoo,Kalamazoo City 1,Straight Party,,DEM,Democratic,227,202,429
Kalamazoo,Kalamazoo City 2,Straight Party,,DEM,Democratic,148,180,328
Kalamazoo,Kalamazoo City 3,Straight Party,,DEM,Democratic,170,281,451
Kalamazoo,Kalamazoo City 4,Straight Party,,DEM,Democratic,70,160,230
Kalamazoo,Kalamazoo City 5,Straight Party,,DEM,Democratic,350,369,719
Kalamazoo,Kalamazoo City 6,Straight Party,,DEM,Democratic,293,189,482
Kalamazoo,Kalamazoo City 7,Straight Party,,DEM,Democratic,249,216,465
Kalamazoo,Kalamazoo City 8,Straight Party,,DEM,Democratic,145,237,382
Kalamazoo,Kalamazoo City 9,Straight Party,,DEM,Democratic,177,258,435
Kalamazoo,Kalamazoo City 10,Straight Party,,DEM,Democratic,293,244,537
Kalamazoo,Kalamazoo City 11,Straight Party,,DEM,Democratic,149,236,385
Kalamazoo,Kalamazoo City 12,Straight Party,,DEM,Democratic,284,229,513
Kalamazoo,Kalamazoo City 13,Straight Party,,DEM,Democratic,64,161,225
Kalamazoo,Kalamazoo City 14,Straight Party,,DEM,Democratic,112,167,279
Kalamazoo,Kalamazoo City 15,Straight Party,,DEM,Democratic,157,308,465
Kalamazoo,Kalamazoo City 16,Straight Party,,DEM,Democratic,243,265,508
Kalamazoo,Kalamazoo City 17,Straight Party,,DEM,Democratic,187,213,400
Kalamazoo,Kalamazoo City 18,Straight Party,,DEM,Democratic,200,211,411
Kalamazoo,Kalamazoo City 19,Straight Party,,DEM,Democratic,213,261,474
Kalamazoo,Kalamazoo City 20,Straight Party,,DEM,Democratic,345,338,683
Kalamazoo,Kalamazoo City 21,Straight Party,,DEM,Democratic,286,216,502
Kalamazoo,Kalamazoo City 22,Straight Party,,DEM,Democratic,304,270,574
Kalamazoo,Kalamazoo City 23,Straight Party,,DEM,Democratic,167,113,280
Kalamazoo,Kalamazoo City 24,Straight Party,,DEM,Democratic,142,152,294
Kalamazoo,Kalamazoo City 25,Straight Party,,DEM,Democratic,200,192,392
Kalamazoo,Kalamazoo City 26,Straight Party,,DEM,Democratic,326,218,544
Kalamazoo,Kalamazoo City 27,Straight Party,,DEM,Democratic,131,139,270
Kalamazoo,Parchment City 1,Straight Party,,DEM,Democratic,0,273,273
Kalamazoo,Portage City 1,Straight Party,,DEM,Democratic,249,124,373
Kalamazoo,Portage City 2,Straight Party,,DEM,Democratic,118,148,266
