county,precinct,office,district,party,candidate,election_day,votes
Hillsdale,"Woodbridge Township, Precinct 1",President,,DEM,Joe Sestak,1,1
Hillsdale,"Woodbridge Township, Precinct 1",President,,DEM,Tom Steyer,1,1
Hillsdale,"Woodbridge Township, Precinct 1",President,,DEM,Elizabeth Warren,1,1
Hillsdale,"Woodbridge Township, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"Woodbridge Township, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"Woodbridge Township, Precinct 1",President,,DEM,Uncommitted,0,0
Hillsdale,"Woodbridge Township, Precinct 1",Ballots Cast,,DEM,,45,45
Hillsdale,"Woodbridge Township, Precinct 1",President,,REP,Mark Sanford,1,1
Hillsdale,"Woodbridge Township, Precinct 1",President,,REP,Donald J. Trump,84,84
Hillsdale,"Woodbridge Township, Precinct 1",President,,REP,Joe Walsh,0,0
Hillsdale,"Woodbridge Township, Precinct 1",President,,REP,Bill Weld,0,0
Hillsdale,"Woodbridge Township, Precinct 1",President,,REP,Uncommitted,4,4
Hillsdale,"Woodbridge Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,64,64
Hillsdale,"Woodbridge Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,79,79
Hillsdale,"Woodbridge Township, Precinct 1",Ballots Cast,,NON,,143,143
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Michael Bennet,0,0
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Joe Biden,50,50
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Michael R. Bloomberg,7,7
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Cory Booker,0,0
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Pete Buttigieg,0,0
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Julián Castro,0,0
Hillsdale,"Wright Township, Precinct 1",President,,DEM,John Delaney,0,0
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Tulsi Gabbard,1,1
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Amy Klobuchar,2,2
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Bernie Sanders,35,35
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Joe Sestak,0,0
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Tom Steyer,0,0
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Elizabeth Warren,2,2
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Marianne Williamson,0,0
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Andrew Yang,0,0
Hillsdale,"Wright Township, Precinct 1",President,,DEM,Uncommitted,1,1
Hillsdale,"Wright Township, Precinct 1",Ballots Cast,,DEM,,98,98
Hillsdale,"Wright Township, Precinct 1",President,,REP,Mark Sanford,1,1
Hillsdale,"Wright Township, Precinct 1",President,,REP,Donald J. Trump,136,136
Hillsdale,"Wright Township, Precinct 1",President,,REP,Joe Walsh,1,1
Hillsdale,"Wright Township, Precinct 1",President,,REP,Bill Weld,1,1
Hillsdale,"Wright Township, Precinct 1",President,,REP,Uncommitted,6,6
Hillsdale,"Wright Township, Precinct 1",Pittsford Area Schools Sinking Fund Millage Proposal,,NON,Yes,20,20
Hillsdale,"Wright Township, Precinct 1",Pittsford Area Schools Sinking Fund Millage Proposal,,NON,No,3,3
Hillsdale,"Wright Township, Precinct 1",Ballots Cast,,NON,,23,23
Hillsdale,"Wright Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,Yes,147,147
Hillsdale,"Wright Township, Precinct 1",Hillsdale County Intermediate School District Area Career and Technical Education Proposal,,NON,No,97,97
