county,precinct,office,distrcit,party,candidate,votes
Branch,Algansee Township Precinct 1,State House,35,DEM,Andrew Watkins,195
Branch,Batavia Township Precinct 1,State House,35,DEM,Andrew Watkins,128
Branch,Bethel Township Precinct 1,State House,35,DEM,Andrew Watkins,114
Branch,Bronson Township Precinct 1,State House,35,DEM,Andrew Watkins,114
Branch,Butler Township Precinct 1,State House,35,DEM,Andrew Watkins,118
Branch,California Township Precinct 1,State House,35,DEM,Andrew Watkins,39
Branch,City of Bronson Precinct 1,State House,35,DEM,Andrew Watkins,185
Branch,City of Coldwater Precinct 1,State House,35,DEM,Andrew Watkins,249
Branch,City of Coldwater Precinct 2,State House,35,DEM,Andrew Watkins,334
Branch,City of Coldwater Precinct 3,State House,35,DEM,Andrew Watkins,471
Branch,City of Coldwater Precinct 4,State House,35,DEM,Andrew Watkins,265
Branch,Coldwater Township Precinct 1,State House,35,DEM,Andrew Watkins,407
Branch,Gilead Township Precinct 1,State House,35,DEM,Andrew Watkins,76
Branch,Girard Township Precinct 1,State House,35,DEM,Andrew Watkins,219
Branch,Kinderhook Township Precinct 1,State House,35,DEM,Andrew Watkins,192
Branch,Matteson Township Precinct 1,State House,35,DEM,Andrew Watkins,167
Branch,Noble Township Precinct 1,State House,35,DEM,Andrew Watkins,44
Branch,Ovid Township Precinct 1,State House,35,DEM,Andrew Watkins,339
Branch,Quincy Township Precinct 1,State House,35,DEM,Andrew Watkins,137
Branch,Quincy Township Precinct 2,State House,35,DEM,Andrew Watkins,253
Branch,Sherwood Township Precinct 1,State House,35,DEM,Andrew Watkins,205
Branch,Union Township Precinct 1,State House,35,DEM,Andrew Watkins,330
Branch,Algansee Township Precinct 1,State House,35,REP,Andrew Fink,608
Branch,Batavia Township Precinct 1,State House,35,REP,Andrew Fink,389
Branch,Bethel Township Precinct 1,State House,35,REP,Andrew Fink,353
Branch,Bronson Township Precinct 1,State House,35,REP,Andrew Fink,464
Branch,Butler Township Precinct 1,State House,35,REP,Andrew Fink,370
Branch,California Township Precinct 1,State House,35,REP,Andrew Fink,143
Branch,City of Bronson Precinct 1,State House,35,REP,Andrew Fink,396
Branch,City of Coldwater Precinct 1,State House,35,REP,Andrew Fink,350
Branch,City of Coldwater Precinct 2,State House,35,REP,Andrew Fink,561
Branch,City of Coldwater Precinct 3,State House,35,REP,Andrew Fink,738
Branch,City of Coldwater Precinct 4,State House,35,REP,Andrew Fink,422
Branch,Coldwater Township Precinct 1,State House,35,REP,Andrew Fink,"1,129"
Branch,Gilead Township Precinct 1,State House,35,REP,Andrew Fink,203
Branch,Girard Township Precinct 1,State House,35,REP,Andrew Fink,633
Branch,Kinderhook Township Precinct 1,State House,35,REP,Andrew Fink,552
Branch,Matteson Township Precinct 1,State House,35,REP,Andrew Fink,367
Branch,Noble Township Precinct 1,State House,35,REP,Andrew Fink,170
Branch,Ovid Township Precinct 1,State House,35,REP,Andrew Fink,942
Branch,Quincy Township Precinct 1,State House,35,REP,Andrew Fink,389
Branch,Quincy Township Precinct 2,State House,35,REP,Andrew Fink,704
Branch,Sherwood Township Precinct 1,State House,35,REP,Andrew Fink,517
Branch,Union Township Precinct 1,State House,35,REP,Andrew Fink,762
Branch,Algansee Township Precinct 1,State House,35,Write In,,1
Branch,Batavia Township Precinct 1,State House,35,,,2
Branch,Bethel Township Precinct 1,State House,35,,,0
Branch,Bronson Township Precinct 1,State House,35,,,3
Branch,Butler Township Precinct 1,State House,35,,,0
Branch,California Township Precinct 1,State House,35,,,0
Branch,City of Bronson Precinct 1,State House,35,,,1
Branch,City of Coldwater Precinct 1,State House,35,,,2
Branch,City of Coldwater Precinct 2,State House,35,,,5
Branch,City of Coldwater Precinct 3,State House,35,,,6
Branch,City of Coldwater Precinct 4,State House,35,,,5
Branch,Coldwater Township Precinct 1,State House,35,,,5
Branch,Gilead Township Precinct 1,State House,35,,,1
Branch,Girard Township Precinct 1,State House,35,,,3
Branch,Kinderhook Township Precinct 1,State House,35,,,1
Branch,Matteson Township Precinct 1,State House,35,,,0
Branch,Noble Township Precinct 1,State House,35,,,1
Branch,Ovid Township Precinct 1,State House,35,,,5
Branch,Quincy Township Precinct 1,State House,35,,,2
Branch,Quincy Township Precinct 2,State House,35,,,2
Branch,Sherwood Township Precinct 1,State House,35,,,1
Branch,Union Township Precinct 1,State House,35,,,5
